BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000140,271002039,NANPARA,BAHRAICH,BAHRAICH,UTTAR PRADESH
SBI,SBIN0000141,805002002,NAWADA,NAWADA,NAWADA,BIHAR
SBI,SBIN0000142,766002006,NAWAPARA,NAWAPARA,NAVAPADA,ODISHA
SBI,SBIN0000143,752002002,NAYAGARH,NAYAGARH,PURI,ODISHA
SBI,SBIN0000144,700002070,NETAJI SUBHASH ROAD,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000145,787002002,NORTH LAKHIMPUR,LAKHIMPUR,LAKHIMPUR,ASSAM
SBI,SBIN0000146,782002102,NAGAON,NAGAON,NAGAON,ASSAM
SBI,SBIN0000147,285002002,ORAI,ORAI,JALAUN,UTTAR PRADESH
SBI,SBIN0000148,274002010,PADRAUNA,PADRAUNA,KUSHI NAGAR,UTTAR PRADESH
SBI,SBIN0000149,816002002,PAKUR,PAKAUR,PAKUR,JHARKHAND
SBI,SBIN0000150,700002078,PARK STREET,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000151,761002089,PARLAKHEMUNDI,PARALAKHEMUNDI,GAJAPATI,ODISHA
SBI,SBIN0000152,800002045,PATNA MAIN,PATNA,PATNA,BIHAR
SBI,SBIN0000153,800002036,PATNA SECTT,PATNA,PATNA,BIHAR
SBI,SBIN0000154,762002001,PHULBANI,PHULBANI,KANDHAMAL,ODISHA
SBI,SBIN0000155,212002042,PHULPUR,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
SBI,SBIN0000156,744002001,PORT BLAIR,PORTBLAIR,ANDAMAN,ANDAMAN AND NICOBAR ISLAND
SBI,SBIN0000157,230002001,PRATAPGARH,PRATAPGARH,PRATAPGARH,UTTAR PRADESH
SBI,SBIN0000158,752002001,PURI,PURI,PURI,ODISHA
SBI,SBIN0000159,854002102,PURNEA,PURNEA,PURNEA,BIHAR
SBI,SBIN0000160,723002002,PURULIA,PURULIA,PURULIYA,WEST BENGAL
SBI,SBIN0000161,229002001,RAEBARELI,RAEBARELY,BAREILLY,UTTAR PRADESH
SBI,SBIN0000162,733002202,RAIGANJ,RAIGUNJ,UTTAR DINAJPUR,WEST BENGAL
SBI,SBIN0000163,757002005,RAIRANGAPUR,RAIRANGPUR,MAYURBHANJ,ODISHA
SBI,SBIN0000164,829002002,RAMGARH CANTT.,RAMGARH,HAZARIBAGH,JHARKHAND
SBI,SBIN0000165,731002102,RAMPURHAT,RAMPURHAT,BIRBHUM,WEST BENGAL
SBI,SBIN0000166,741002202,RANAGHAT,RANAGHAT,NADIA,WEST BENGAL
SBI,SBIN0000167,834002002,RANCHI,RANCHI BRANCH,RANCHI,JHARKHAND
SBI,SBIN0000168,277002013,RASRA,BALLIA,BALIA,UTTAR PRADESH
SBI,SBIN0000169,765002004,RAYAGADA,RAYAGADA,RAYAGADA,ODISHA
SBI,SBIN0000170,231002011,ROBERTSGANJ,ROBERTSGANJ,SUNBHADRA,UTTAR PRADESH
SBI,SBIN0000171,769002015,ROURKELA,ROURKELA,SURENDRANAGAR,ODISHA
SBI,SBIN0000172,852002002,SAHARSA,SAHARSA,SAHARSA,BIHAR
SBI,SBIN0000173,816002102,SAHIBGANJ,SAHIBGANJ,SAHEBGANJ,JHARKHAND
SBI,SBIN0000174,848002002,SAMASTIPUR,SAMASTIPUR,SAMASTIPUR,BIHAR
SBI,SBIN0000175,768002007,SAMBALPUR,SAMBALPUR,SAMBALPUR,ODISHA
SBI,SBIN0000176,741002404,SANTIPUR,SANTIPUR,NADIA,WEST BENGAL
SBI,SBIN0000177,821002202,SASARAM,SASARAM,ROHTAS,BIHAR
SBI,SBIN0000178,700002181,SERAMPORE,SERAMPORE,HOOGHLY,WEST BENGAL
SBI,SBIN0000179,222002015,SHAHGANJ,JAUNPUR,JAUNPUR,UTTAR PRADESH
SBI,SBIN0000180,700002092,SHYAMBAZAR,SHAMBAZAR,KOLKATA,WEST BENGAL
SBI,SBIN0000181,793002002,SHILLONG,SHILLONG,EAST KHASI HILLS,MEGHALAYA
SBI,SBIN0000182,785002202,SIVASAGAR,SIVASAGAR,SIBSAGAR,ASSAM
SBI,SBIN0000183,788002002,SILCHAR,SILCHAR,CACHAR,ASSAM
SBI,SBIN0000184,734002001,SILIGURI,SILIGURI,DARJEELING,WEST BENGAL
SBI,SBIN0000185,826002501,SINDRI,SINDRI,DHANBAD,JHARKHAND
